iter	RMSE
0	6576.558416
1	5915.568736
2	5189.744565
3	4697.335761
4	4192.930582
5	3801.725599
6	3475.291872
7	3189.107727
8	2952.402793
9	2756.155794
10	2627.556763
11	2542.733169
12	2416.809508
13	2352.565234
14	2273.128906
15	2200.537836
16	2166.846289
17	2106.478821
18	2044.708775
19	2018.624104
20	1979.152684
21	1942.525738
22	1914.94432
23	1853.814193
24	1831.662975
25	1806.252271
26	1786.584126
27	1739.450366
28	1720.913081
29	1695.465048
30	1671.705748
31	1651.163289
32	1616.871811
33	1601.641423
34	1582.087694
35	1567.800595
36	1555.434155
37	1525.97865
38	1505.775968
39	1495.278876
40	1479.560028
41	1463.304386
42	1452.137203
43	1442.407859
44	1428.055667
45	1411.054265
46	1402.311159
47	1395.052869
48	1383.27348
49	1373.350614
50	1364.220648
51	1356.186223
52	1330.260549
53	1323.030384
54	1318.296357
55	1300.788167
56	1281.255693
57	1263.434527
58	1258.307381
59	1251.878205
60	1243.090412
61	1235.022918
62	1229.116552
63	1225.105566
64	1219.890331
65	1208.561113
66	1202.124981
67	1198.459409
68	1190.75272
69	1188.281933
70	1182.399728
71	1176.397276
72	1170.580375
73	1167.864491
74	1159.28164
75	1150.390949
76	1138.944968
77	1136.425768
78	1130.157433
79	1125.340925
80	1119.771302
81	1117.385874
82	1115.101858
83	1109.074093
84	1106.225205
85	1102.409906
86	1095.74898
87	1091.243245
88	1090.176662
89	1081.22014
90	1076.284598
91	1075.192839
92	1067.921446
93	1064.163609
94	1058.954785
95	1055.78563
96	1049.866404
97	1044.478468
98	1038.580619
99	1036.275685
100	1032.126671
101	1027.148202
102	1025.092849
103	1022.250198
104	1020.794466
105	1014.199214
106	1011.369211
107	1009.036896
108	1008.307996
109	1007.08198
110	998.8800359
111	989.9198006
112	986.9573109
113	986.0109788
114	981.081182
115	978.7189264
116	977.4253148
117	974.9353036
118	972.0094268
119	969.7003994
120	966.9545146
121	965.9517811
122	959.0096304
123	958.408168
124	955.5797141
125	953.7231745
126	952.6274431
127	950.0894047
128	949.6562038
129	943.7012846
130	943.1572215
131	941.7841474
132	937.623103
133	930.865415
134	928.2059131
135	924.9686668
136	921.1463354
137	918.0603987
138	917.1638864
139	914.9602743
140	911.252493
141	906.0960954
142	905.4904145
143	904.2379853
144	900.3582889
145	899.062578
146	896.7676217
147	894.3544573
148	893.2590182
149	889.550314
150	888.9433122
151	884.7475472
152	883.3219467
153	882.1705069
154	881.3353706
155	879.3028069
156	878.9732482
157	874.3859279
158	873.6717773
159	868.7897111
160	866.2172126
161	863.3144628
162	862.413361
163	862.0331612
164	859.2144882
165	857.7485321
166	856.8012716
167	856.54439
168	853.5026731
169	852.3195529
170	847.9076245
171	846.5957108
172	845.2720558
173	843.4869349
174	840.2361102
175	839.969499
176	836.0923019
177	832.4481724
178	831.5195008
179	831.2676634
180	828.4529028
181	827.6040901
182	826.5247907
183	824.2449947
184	822.4966883
185	821.4620074
186	821.2832729
187	819.8891537
188	817.9712577
189	817.3030032
190	815.9820061
191	814.4244941
192	813.0284689
193	812.8015685
194	811.7457522
195	810.5924349
196	809.2791098
197	807.697433
198	805.8538035
199	802.8672469
200	802.6030198
201	798.2879391
202	795.2696048
203	794.293877
204	793.4147763
205	792.6499998
206	790.2500467
207	789.1840335
208	787.6224804
209	783.8870292
210	782.4410373
211	780.3345903
212	778.8176135
213	778.6154543
214	778.3487518
215	776.8862247
216	776.1382241
217	775.9116067
218	773.1796514
219	771.84959
220	771.0812362
221	768.7136254
222	767.9620342
223	767.0940347
224	766.002071
225	765.5771412
226	764.0043073
227	763.7986524
228	763.017737
229	760.135799
230	758.8904864
231	756.8159339
232	756.367098
233	756.0079552
234	755.1579092
235	754.1570643
236	752.8424405
237	752.1642021
238	749.6853502
239	749.3824876
240	748.5049895
241	747.2914259
242	745.9686198
243	745.5019009
244	744.440983
245	742.4204613
246	740.9229295
247	739.8368189
248	738.6934674
249	735.8328152
